Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2023-01-01,0,0,0,0,2,-4,0,0,Backup,RegularQB
2019-01-01,43,736,3,2,4,23,2,0,Backup,RegularQB
2020-01-01,119,1852,10,8,16,1,0,1,Backup,RegularQB
2021-01-01,18,250,1,0,4,8,0,0,Backup,RegularQB
2022-01-01,0,224,0,4,2,8,0,0,Backup,RegularQB
2019-01-01,0,0,0,0,3,-3,0,0,Backup,RegularQB
2020-01-01,138,2437,12,12,9,8,4,0,Backup,RegularQB
2021-01-01,11,147,1,0,0,0,0,0,Backup,RegularQB
2022-01-01,12,224,1,1,4,8,0,0,Backup,RegularQB
2023-01-01,77,1306,7,8,10,25,0,0,Backup,RegularQB
2019-01-01,329,4031,26,5,43,218,2,2,Really Good,RegularQB
2020-01-01,439,4740,38,6,62,308,2,2,MVP Passer,RegularQB
2021-01-01,428,4839,37,13,66,381,4,2,Really Good,RegularQB
2022-01-01,482,5250,41,12,61,358,0,4,MVP Passer,RegularQB
2023-01-01,324,4183,27,14,75,389,3,0,Solid,RegularQB
2019-01-01,276,4615,23,20,12,29,3,0,High Volume,RegularQB
2020-01-01,281,4169,24,11,18,-8,1,0,Solid,RegularQB
2020-01-01,9,368,1,5,5,-2,0,0,Backup,RegularQB
2021-01-01,15,362,1,3,7,13,1,0,Backup,RegularQB
2022-01-01,42,731,3,3,6,39,0,0,Backup,RegularQB
2023-01-01,21,674,1,5,13,30,2,0,Backup,RegularQB
2019-01-01,13,225,1,2,20,70,0,0,Backup,RegularQB
2020-01-01,2,42,0,2,12,69,1,0,Backup,RegularQB
2019-01-01,379,4110,31,5,75,342,2,3,Really Good,RegularQB
2020-01-01,428,4212,40,13,83,513,4,2,Really Good,Dual Threat
2021-01-01,281,3113,25,6,43,183,1,2,Game Manager,RegularQB
2022-01-01,242,3524,16,11,55,277,2,3,Game Manager,RegularQB
2023-01-01,301,3070,26,8,80,341,5,3,Game Manager,RegularQB
2019-01-01,28,474,2,2,10,77,3,0,Backup,RegularQB
2020-01-01,18,164,1,2,11,66,0,1,Backup,RegularQB
2019-01-01,269,3529,20,13,54,243,2,4,Not Very Good,RegularQB
2020-01-01,172,2091,13,8,30,151,0,2,Backup,RegularQB
2021-01-01,0,13,0,0,1,2,0,0,Backup,RegularQB
2019-01-01,0,18,0,0,4,-1,0,0,Backup,RegularQB
2019-01-01,261,2742,22,6,43,185,3,4,Game Manager,RegularQB
2020-01-01,395,3819,33,7,43,266,1,7,Really Good,RedZone Threat
2021-01-01,295,3734,21,14,55,270,4,7,Not Very Good,RedZone Threat
2022-01-01,179,2536,13,6,34,98,2,2,Did not play many games,RegularQB
2023-01-01,82,1616,4,7,17,74,0,1,Backup,RegularQB
2019-01-01,221,3024,19,13,33,62,3,2,Not Very Good,RegularQB
2020-01-01,144,2208,9,11,37,217,2,2,Backup,RegularQB
2021-01-01,170,2527,9,13,48,222,4,5,Not Very Good,RedZone Threat
2022-01-01,98,1143,7,3,26,106,2,2,Backup,RegularQB
2023-01-01,26,297,2,1,21,15,1,1,Backup,RegularQB
2021-01-01,0,0,0,0,3,9,0,0,Backup,RegularQB
2022-01-01,40,573,3,3,17,87,1,0,Backup,RegularQB
2022-01-01,19,169,1,1,5,35,0,1,Backup,RegularQB
2023-01-01,289,3946,21,21,48,263,2,5,Solid,RedZone Threat
2023-01-01,1,37,0,0,3,-2,0,0,Backup,RegularQB
